rank,feature
1,FS_ST88SV
2,APOE4_count
3,FS_ST50TA
4,FS_ST89SV
5,FS_ST24CV
6,GFAP_F
7,FS_ST90TA
8,AMY_SUMMARY_SUVR
9,FS_ST99CV
10,FS_ST73TA
