rank,feature
1,FS_ST111TA
2,pT217_AB42_F
3,FS_ST14SA
4,entry_age
5,FS_ST125SV
6,AB42_F
7,NfL_F
8,TAU_CTX_ENTORHINAL_SUVR
9,FS_ST46TS
10,FS_ST72CV
