rank,feature
1,FS_ST29SV
2,TAU_META_TEMPORAL_SUVR
3,FS_ST113TA
4,FS_ST109TA
5,pT217_F
6,FS_ST84TS
7,FS_ST24TA
8,FS_ST50TS
9,FS_ST89SV
10,FS_ST49CV
