rank,feature
1,TAU_CTX_ENTORHINAL_SUVR
2,pT217_AB42_F
3,FS_ST90TS
4,PTWORKHS
5,FS_ST60TA
6,FS_ST72CV
7,FS_ST46TA
8,FS_ST10CV
9,FS_ST2SV
10,NfL_F
