step,feature,auc,gain,is_imaging
1,FS_ST29SV,0.7245,0.7245,True
2,AMY_SUMMARY_SUVR,0.7703152173913043,0.04581521739130423,True
3,FS_ST31TA,0.7864891304347826,0.016173913043478372,True
4,FS_ST129SA,0.8065434782608696,0.02005434782608695,True
5,FS_ST98TA,0.8169347826086956,0.01039130434782598,True
6,FS_ST109TS,0.820695652173913,0.003760869565217484,True
7,FS_ST72CV,0.8255217391304347,0.004826086956521647,True
8,NfL_F,0.8273369565217392,0.0018152173913045244,False
9,APOE4_count,0.8326195652173913,0.0052826086956521134,False
10,FS_ST13TS,0.8359565217391305,0.003336956521739154,True
11,pT217_F,0.8390217391304347,0.0030652173913041647,False
12,FS_ST84TS,0.8429021739130436,0.0038804347826089103,True
13,FS_ST89SV,0.8445760869565216,0.0016739130434780813,True
14,FS_ST24TA,0.8427173913043479,-0.0018586956521737807,True
