rank,feature
1,pT217_F
2,FS_ST129TA
3,FS_ST109TA
4,FS_ST52TS
5,FS_ST84CV
6,TAU_CTX_ENTORHINAL_SUVR
7,FS_ST121CV
8,NfL_Q
9,FS_ST51SA
10,FS_ST34TS
