rank,feature
1,FS_ST12SV
2,TAU_CTX_ENTORHINAL_SUVR
3,NfL_F
4,FS_ST99TA
5,APOE4_count
6,baseline_CDR_group
7,FS_ST89SV
8,pT217_F
9,FS_ST49TS
10,FS_ST34TA
