cohort,endpoint,n,n_events,event_pct,rsf_cindex,rsf_cindex_std,cox_cindex,tauc_1yr,tauc_3yr,tauc_5yr,brier_1yr,brier_3yr,brier_5yr
CN,primary,633,208,32.859399684044234,0.6801654629587672,0.024514058366932965,0.667372290114409,0.7658536585365854,0.6488953977502881,0.68098223615465,0.08355382986380162,0.1279762662390297,0.18366169212631225
CN,sustained,633,86,13.58609794628752,0.7499775979605687,0.05004973324958983,0.7469160647515067,0.9266129032258065,0.7494207441733679,0.7698384831460674,0.044421190006785204,0.06713472573424167,0.09551167588006142
CN,cdrsb,633,146,23.06477093206951,0.691948442598634,0.01899213391582844,0.6740730247205938,0.867524115755627,0.6763473053892216,0.6831354475863146,0.08070415205218591,0.10837810259081815,0.14924298461455754
MCI,primary,962,373,38.773388773388774,0.7810384858139674,0.01915826805408009,0.7822145675354408,0.8179808465275593,0.8263394274826474,0.8645207404535763,0.12440469632088558,0.15988037443853628,0.21346155211065676
MCI,sustained,962,223,23.18087318087318,0.7985302337419131,0.029099014304303634,0.7955479832120634,0.8427590715920236,0.8332497387669802,0.8642323174238069,0.0798309434323579,0.1326631725610719,0.19891987428186572
MCI,cdrsb,962,620,64.44906444906445,0.6765014734272511,0.033637762877293725,0.6698598311971709,0.6896607819290268,0.759007070600074,0.7931555953847877,0.219001105618322,0.22927749710032916,0.269453761475445
MCI,composite,960,500,52.083333333333336,0.7442724023575918,0.010938794929147094,0.7487224239446646,0.7856077677624602,0.81658557574554,0.8481340953844676,0.15620655505602646,0.1962638550364576,0.2456352601655309
POOLED,primary,1595,581,36.426332288401255,0.7608789131556397,0.015043858727160575,,0.8208069483373127,0.8047248302456199,0.8142682577337642,0.09274972863155889,0.1410904368298171,0.21243453546626853
