step,feature,auc,gain,is_imaging
1,FS_ST111TA,0.6185627226361573,0.6185627226361573,True
2,pT217_AB42_F,0.6734755544592527,0.054912831823095365,False
3,FS_ST14SA,0.7249831080672582,0.05150755360800552,True
4,entry_age,0.7521664478091272,0.02718333974186904,False
5,FS_ST125SV,0.767714184145041,0.015547736335913775,True
6,AB42_F,0.7645831912573064,-0.0031309928877345516,False
7,NfL_F,0.7700790063625877,0.005495815105281299,False
8,TAU_CTX_ENTORHINAL_SUVR,0.7713359983168526,0.0012569919542648744,True
9,FS_ST46TS,0.7821886721272227,0.010852673810370028,True
10,FS_ST72CV,0.7808924550979297,-0.0012962170292929454,True
11,FS_ST39TA,0.7819906604661061,0.001098205368176397,True
12,FS_ST18SV,0.7858463740988753,0.0038557136327691532,True
13,FS_ST93TA,0.7824448684557364,-0.0034015056431389024,True
