rank,feature
1,FS_ST116TA
2,APOE4_count
3,FS_ST119SA
4,FS_ST89SV
5,FS_ST84CV
6,TAU_META_TEMPORAL_SUVR
7,FS_ST50TS
8,WMH_CEREBRUM_TCC
9,PTWORKHS
10,FS_ST88SV
