,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
37,0.038,0.826,0.629,0.83,0.07,0.46,0.127,0.831,0.093,2.181,0.0,0.002,0.022,0.003,0.002,0.02,0.003,0.004,0.004,0.098
38,0.039,0.83,0.622,0.834,0.071,0.456,0.128,0.831,0.093,2.195,0.0,0.002,0.021,0.002,0.002,0.019,0.003,0.004,0.004,0.094
39,0.04,0.835,0.613,0.839,0.072,0.452,0.129,0.831,0.093,2.216,0.0,0.003,0.02,0.003,0.002,0.019,0.004,0.004,0.004,0.096
40,0.041,0.838,0.606,0.843,0.073,0.449,0.13,0.831,0.093,2.232,0.0,0.003,0.019,0.003,0.002,0.018,0.004,0.004,0.004,0.092
41,0.042,0.842,0.598,0.847,0.074,0.445,0.131,0.831,0.093,2.251,0.0,0.003,0.018,0.003,0.002,0.018,0.004,0.004,0.004,0.091
42,0.043,0.845,0.587,0.851,0.074,0.438,0.132,0.831,0.093,2.286,0.0,0.003,0.017,0.003,0.002,0.017,0.004,0.004,0.004,0.088
43,0.044,0.849,0.578,0.854,0.075,0.433,0.133,0.831,0.093,2.315,0.0,0.003,0.019,0.003,0.002,0.018,0.004,0.004,0.004,0.098
44,0.045,0.853,0.569,0.859,0.076,0.428,0.134,0.831,0.093,2.34,0.0,0.003,0.017,0.003,0.002,0.016,0.004,0.004,0.004,0.09
45,0.046,0.858,0.556,0.864,0.077,0.42,0.136,0.831,0.093,2.383,0.0,0.002,0.019,0.002,0.002,0.019,0.004,0.004,0.004,0.108
46,0.047,0.861,0.549,0.868,0.078,0.417,0.137,0.831,0.093,2.406,0.0,0.002,0.02,0.002,0.002,0.019,0.004,0.004,0.004,0.11
47,0.048,0.865,0.538,0.872,0.079,0.41,0.138,0.831,0.093,2.446,0.0,0.001,0.019,0.002,0.002,0.018,0.004,0.004,0.004,0.112
48,0.049,0.869,0.528,0.876,0.08,0.404,0.139,0.831,0.093,2.482,0.0,0.002,0.02,0.002,0.002,0.019,0.004,0.004,0.004,0.117
49,0.05,0.872,0.52,0.879,0.081,0.399,0.14,0.831,0.093,2.513,0.0,0.002,0.022,0.002,0.002,0.02,0.004,0.004,0.004,0.128
50,0.051,0.875,0.509,0.883,0.081,0.392,0.14,0.831,0.093,2.562,0.0,0.001,0.023,0.002,0.003,0.022,0.005,0.004,0.004,0.145
51,0.052,0.879,0.499,0.887,0.083,0.386,0.142,0.831,0.093,2.598,0.0,0.002,0.024,0.002,0.002,0.022,0.005,0.004,0.004,0.154
52,0.053,0.886,0.478,0.894,0.084,0.372,0.143,0.831,0.093,2.698,0.0,0.001,0.021,0.001,0.003,0.02,0.005,0.004,0.004,0.149
53,0.054,0.889,0.466,0.898,0.085,0.364,0.144,0.831,0.093,2.75,0.0,0.002,0.017,0.002,0.003,0.017,0.005,0.004,0.004,0.131
54,0.055,0.895,0.452,0.904,0.087,0.355,0.147,0.831,0.093,2.818,0.0,0.004,0.014,0.004,0.004,0.014,0.006,0.004,0.004,0.116
55,0.056,0.898,0.441,0.908,0.089,0.348,0.148,0.831,0.093,2.874,0.0,0.004,0.014,0.004,0.004,0.014,0.006,0.004,0.004,0.118
56,0.057,0.902,0.429,0.912,0.09,0.34,0.149,0.831,0.093,2.942,0.0,0.005,0.012,0.005,0.005,0.012,0.007,0.004,0.004,0.104
57,0.058,0.905,0.418,0.915,0.091,0.333,0.15,0.831,0.093,3.004,0.0,0.005,0.011,0.005,0.005,0.012,0.007,0.004,0.004,0.109
58,0.059,0.909,0.408,0.919,0.093,0.326,0.152,0.831,0.093,3.069,0.0,0.004,0.012,0.004,0.005,0.013,0.007,0.004,0.004,0.126
59,0.06,0.912,0.396,0.923,0.095,0.318,0.153,0.831,0.093,3.144,0.0,0.004,0.01,0.004,0.005,0.011,0.007,0.004,0.004,0.114
60,0.061,0.914,0.389,0.925,0.096,0.314,0.153,0.831,0.093,3.193,0.0,0.003,0.009,0.003,0.005,0.012,0.007,0.004,0.004,0.122
61,0.062,0.916,0.382,0.927,0.097,0.309,0.154,0.831,0.093,3.241,0.0,0.003,0.01,0.003,0.005,0.012,0.008,0.004,0.004,0.132
62,0.063,0.919,0.372,0.93,0.098,0.302,0.155,0.831,0.093,3.31,0.0,0.003,0.008,0.003,0.005,0.01,0.007,0.004,0.004,0.113
63,0.064,0.921,0.367,0.932,0.099,0.299,0.156,0.831,0.093,3.347,0.0,0.003,0.009,0.003,0.005,0.011,0.007,0.004,0.004,0.126
64,0.065,0.923,0.36,0.934,0.101,0.294,0.157,0.831,0.093,3.403,0.0,0.002,0.011,0.002,0.005,0.012,0.007,0.004,0.004,0.14
65,0.066,0.925,0.352,0.936,0.102,0.289,0.158,0.831,0.093,3.473,0.0,0.002,0.012,0.002,0.005,0.013,0.007,0.004,0.004,0.163
66,0.067,0.926,0.346,0.938,0.103,0.284,0.158,0.831,0.093,3.527,0.0,0.002,0.011,0.002,0.005,0.012,0.007,0.004,0.004,0.146
67,0.068,0.928,0.34,0.94,0.104,0.28,0.159,0.831,0.093,3.579,0.0,0.002,0.012,0.002,0.005,0.013,0.007,0.004,0.004,0.167
68,0.069,0.93,0.332,0.942,0.105,0.274,0.16,0.831,0.093,3.657,0.0,0.002,0.011,0.002,0.006,0.012,0.008,0.004,0.004,0.163
69,0.07,0.931,0.326,0.944,0.106,0.27,0.16,0.831,0.093,3.709,0.0,0.002,0.01,0.002,0.005,0.011,0.007,0.004,0.004,0.159
70,0.071,0.933,0.317,0.946,0.107,0.263,0.16,0.831,0.093,3.803,0.0,0.003,0.01,0.002,0.006,0.011,0.008,0.004,0.004,0.164
71,0.072,0.934,0.313,0.947,0.108,0.26,0.161,0.831,0.093,3.847,0.0,0.003,0.01,0.003,0.007,0.011,0.008,0.004,0.004,0.169
72,0.073,0.936,0.308,0.948,0.109,0.256,0.161,0.831,0.093,3.912,0.0,0.002,0.011,0.002,0.006,0.012,0.008,0.004,0.004,0.189
73,0.074,0.937,0.303,0.95,0.11,0.253,0.161,0.831,0.093,3.968,0.0,0.002,0.01,0.002,0.007,0.012,0.009,0.004,0.004,0.195
74,0.075,0.938,0.298,0.951,0.111,0.249,0.162,0.831,0.093,4.027,0.0,0.003,0.011,0.002,0.008,0.013,0.01,0.004,0.004,0.22
