model,c_index,auc_1yr,auc_3yr,auc_5yr,brier_3yr,brier_5yr
RSF,0.7647987987116914,0.7525837491090519,0.8031925641543747,0.8342093841925061,0.16653131922389383,0.2308943398608584
Cox PH,0.7700117491652783,,,,,
Binary LGBM 3yr,,,0.8336,,,
Binary LGBM 5yr,,,,0.8551,,
