s01_rank,feature,s01_gain,in_top10_survival
1,PTWORKHS,0.4264803965212314,True
2,FS_ST12SV,0.24572586902104424,True
3,FS_ST29SV,0.20300393339735853,False
4,GFAP_Q,0.13815409412457036,True
5,AMY_CENTILOIDS,0.12130231849794997,True
6,NfL_Q,0.09375286894349888,False
7,TAU_META_TEMPORAL_SUVR,0.08822848402139274,False
8,FS_ST71SV,0.06990776952071806,False
9,AMY_SUMMARY_SUVR,0.0688937911755777,False
10,FS_ST89SV,0.06355695832174324,True
11,FS_ST88SV,0.0613275233010816,False
12,FS_ST52TA,0.06017843297239545,False
13,FS_ST45TA,0.057818306708040224,False
14,FS_ST31TA,0.053030483173961494,False
15,FS_ST10CV,0.05108093407096072,False
16,FS_ST129SA,0.048872681102425514,False
17,FS_ST101SV,0.04719579579836659,False
18,FS_ST102CV,0.04366302018059068,True
19,FS_ST84TS,0.043634626438622266,True
20,FS_ST80SV,0.04338053409930201,False
21,FS_ST32TA,0.03705551005249966,False
22,FS_ST13TA,0.03658888878394967,False
23,FS_ST55TA,0.03543139699284909,False
24,BSI_VENTVOL,0.03540847603034482,False
25,FS_ST72CV,0.035206511130495895,True
26,FS_ST93TA,0.03310711420843713,True
27,FS_ST72SA,0.03290910989653516,False
28,FS_ST99TA,0.03140185994798,False
29,APOE4_count,0.030804565692865816,True
30,FS_ST44TA,0.02896784673148805,False
31,AMY_COMPOSITE_REF_SUVR,0.02870265805864501,False
32,entry_age,0.027645028391256914,False
33,AB42_AB40_F,0.027475319078382427,False
34,pT217_AB42_F,0.027008722106180622,False
35,FS_ST34TA,0.025454614935197475,False
36,FS_ST150SV,0.02537014013222094,False
37,FS_ST95TS,0.025111792965168567,False
38,FS_ST43TS,0.024872732099709235,False
39,FS_ST83TA,0.024803478711138468,False
40,FS_ST46TS,0.024415027014924255,False
41,FS_ST14TS,0.024266915287167925,False
42,WMH_CEREBRUM_TCC,0.023583555054978222,False
43,FS_ST13TS,0.023083750392377794,False
44,FS_ST31CV,0.0225940707374361,False
45,FS_ST43CV,0.021646939237784314,False
46,FS_ST84SA,0.02146401355278888,False
47,FS_ST112SV,0.021221448647512037,False
48,FS_ST109TA,0.02115604242033081,False
49,FS_ST118TA,0.020531793507986302,False
50,FS_ST39TA,0.020489395859827578,False
51,FS_ST34SA,0.020454275501606976,False
52,FS_ST110CV,0.020290300888857325,False
53,FS_ST51TA,0.020040754695296592,False
54,FS_ST36SA,0.019872639319242536,False
55,NfL_F,0.019768576698176252,False
56,FS_ST91TS,0.01963664945877341,False
57,FS_ST113TA,0.019410377375074762,False
58,FS_ST74TS,0.01934690645019645,False
59,FS_ST117TS,0.019290689965582777,False
60,FS_ST26TA,0.019121083765545277,False
61,FS_ST43TA,0.01892409125022809,False
62,FS_ST47CV,0.018905710047364185,False
63,FS_ST98TS,0.01838887075765377,False
64,FS_ST21SV,0.017619604635464036,False
65,FS_ST39CV,0.017508213687138216,False
66,FS_ST49SA,0.017448855418363052,False
67,FS_ST128SV,0.017209946724079623,False
68,pT217_F,0.01714472114555917,False
69,FS_ST115SA,0.01695459549559466,False
70,FS_ST102SA,0.01656538532371693,False
