rank,feature
1,PTWORKHS
2,FS_ST89SV
3,AMY_CENTILOIDS
4,FS_ST72CV
5,GFAP_Q
6,APOE4_count
7,FS_ST93TA
8,FS_ST12SV
9,FS_ST102CV
10,FS_ST84TS
