step,feature,auc
1,34-0.0,0.7968
2,137-0.0,0.8097
3,400-0.0,0.819
4,30710-0.0,0.8212
5,20023-0.0,0.8229
6,23112-0.0,0.8242
7,30040-0.0,0.8251
8,3526-0.0,0.826
9,20110-0.1_neg,0.8269
10,30650-0.0,0.8274
