target,auc_mean,auc_std,brier,ap,sensitivity,specificity,n_events,n_total
DM_full,0.8248721717972287,0.005163336979643601,0.01885693536834472,0.08548118503078625,0.7751567632128994,0.7307748570685543,10047,502241
DM_10yrs,0.8265459185193663,0.004025281659376116,0.008598499311108364,0.04402379576794123,0.7848784878487849,0.7234816601948184,4444,502241
DM_5yrs,0.7976136030448892,0.0058996566004199235,0.0019429330928862941,0.009503035255318303,0.7553516819571865,0.7339644096875872,981,502241
AD_full,0.8279402703401031,0.005389603081867162,0.008630085226529357,0.039906998602288316,0.8326218827229837,0.6812230056851283,4451,502241
AD_10yrs,0.8204640371904738,0.006102443416033058,0.0034397099237075597,0.018135512051121395,0.8076702919290212,0.7004459593921206,1747,502241
AD_5yrs,0.6062517133258015,0.04483521911659341,0.0006087078771547724,0.0012308764861522106,0.3464052287581699,0.8773088148863897,306,502241
