feature,cluster
34-0.0,2
137-0.0,7
400-0.0,1
20023-0.0,4
30650-0.0,28
30710-0.0,27
30040-0.0,21
46-0.0,25
3526-0.0,17
30690-0.0,8
20008-0.0,9
845-0.0,5
23107-0.0,29
4080-0.0,3
20110-0.1_neg,18
23112-0.0,26
398-0.0,19
20010-0.0,10
52-0.0_c0,13
22006-0.0_c0,6
131287-0.0_c2,15
20110-0.2_pos,20
1329-0.0_c0,22
403-0.0,14
21000-0.0_c0,16
1031-0.0_c1,23
22032-0.0_c0,24
131287-0.0_c0,11
131351-0.0_c0,12
