step,feature_added,auc_mean
1,26641-0.0,0.8044773845556048
2,25629-0.0,0.8500830572623412
3,26555-0.0,0.8462967755324563
4,26537-0.0,0.8984787143756858
5,25552-0.0,0.8947065337933593
6,25198-0.0,0.9070634216316853
7,25087-0.0,0.9116986450894942
8,27103-0.0,0.9190904495322727
9,1608-0.0,0.8898864192525997
10,25890-0.0,0.9275799053502471
