Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26642-0.0,0.00022222222222222223,3.603243522861621e-06,True,1.3,3.2,,26642-0.0,,
25293-0.0,0.00022222222222222223,3.59418805894267e-06,True,5.0,27.4,,25293-0.0,,
25437-0.0,0.00022222222222222223,3.587121588085781e-06,True,5.0,27.4,,25437-0.0,,
27241-0.0,0.00022222222222222223,3.5331906062794183e-06,True,1.3,3.2,,27241-0.0,,
25795-0.0,0.00022222222222222223,3.531983143465042e-06,True,0.0,0.0,,25795-0.0,,
25124-0.0,0.00022222222222222223,3.524659548436823e-06,True,5.0,27.4,,25124-0.0,,
27722-0.0,0.00044444444444444447,3.5232234542976518e-06,True,1.3,3.2,,27722-0.0,,
27409-0.0,0.00022222222222222223,3.4942325832489295e-06,True,1.3,3.2,,27409-0.0,,
27145-0.0,0.00022222222222222223,3.4597320953832457e-06,True,1.3,3.2,,27145-0.0,,
27190-0.0,0.00022222222222222223,3.4516122581542272e-06,True,1.3,3.2,,27190-0.0,,
1140-0.0_c0,0.00022222222222222223,3.440744616955142e-06,False,0.0,0.0,,1140-0.0_c0,,
27214-0.0,0.00022222222222222223,3.407438024341333e-06,True,1.3,3.2,,27214-0.0,,
25861-0.0,0.00022222222222222223,3.405529010568192e-06,True,0.0,0.0,,25861-0.0,,
27272-0.0,0.00044444444444444447,3.403708225524876e-06,True,1.3,3.2,,27272-0.0,,
26748-0.0,0.00022222222222222223,3.400479204562245e-06,True,1.3,3.2,,26748-0.0,,
25860-0.0,0.00022222222222222223,3.3732018066502762e-06,True,0.0,0.0,,25860-0.0,,
25343-0.0,0.00022222222222222223,3.358607103102774e-06,True,5.0,27.4,,25343-0.0,,
27221-0.0,0.00022222222222222223,3.3380455233630617e-06,True,1.3,3.2,,27221-0.0,,
25249-0.0,0.00044444444444444447,3.3308334147104555e-06,True,5.0,27.4,,25249-0.0,,
26622-0.0,0.00022222222222222223,3.288773384823151e-06,True,1.3,3.2,,26622-0.0,,
27557-0.0,0.00022222222222222223,3.2827264418917313e-06,True,1.3,3.2,,27557-0.0,,
27237-0.0,0.00022222222222222223,3.279564154580365e-06,True,1.3,3.2,,27237-0.0,,
27510-0.0,0.00022222222222222223,3.2593226699602082e-06,True,1.3,3.2,,27510-0.0,,
27559-0.0,0.00022222222222222223,3.255545474133887e-06,True,1.3,3.2,,27559-0.0,,
27290-0.0,0.00022222222222222223,3.2272762136502486e-06,True,1.3,3.2,,27290-0.0,,
25665-0.0,0.00022222222222222223,3.220250624040971e-06,True,5.0,27.4,,25665-0.0,,
26904-0.0,0.00022222222222222223,3.210084944124399e-06,True,1.3,3.2,,26904-0.0,,
26676-0.0,0.00022222222222222223,3.197322431788588e-06,True,1.3,3.2,,26676-0.0,,
27155-0.0,0.00022222222222222223,3.1863970058987275e-06,True,1.3,3.2,,27155-0.0,,
27662-0.0,0.00022222222222222223,3.1764177560891145e-06,True,1.3,3.2,,27662-0.0,,
25157-0.0,0.00022222222222222223,3.176316814284704e-06,True,5.0,27.4,,25157-0.0,,
25677-0.0,0.00022222222222222223,3.1396533186512722e-06,True,5.0,27.4,,25677-0.0,,
1200-0.0_c0,0.00022222222222222223,3.119614837753036e-06,False,0.0,0.0,,1200-0.0_c0,,
27360-0.0,0.00044444444444444447,3.095859729211879e-06,True,1.3,3.2,,27360-0.0,,
27749-0.0,0.00022222222222222223,3.0374765426164273e-06,True,1.3,3.2,,27749-0.0,,
25707-0.0,0.00022222222222222223,3.0337604234486126e-06,True,5.0,27.4,,25707-0.0,,
26942-0.0,0.00044444444444444447,2.978648635862365e-06,True,1.3,3.2,,26942-0.0,,
26927-0.0,0.00022222222222222223,2.968008057481557e-06,True,1.3,3.2,,26927-0.0,,
25416-0.0,0.00022222222222222223,2.9622886428612844e-06,True,5.0,27.4,,25416-0.0,,
27321-0.0,0.00022222222222222223,2.9529929720159702e-06,True,1.3,3.2,,27321-0.0,,
25194-0.0,0.00044444444444444447,2.9365495715657567e-06,True,5.0,27.4,,25194-0.0,,
27766-0.0,0.00022222222222222223,2.9247177780671456e-06,True,1.3,3.2,,27766-0.0,,
27229-0.0,0.00022222222222222223,2.8935613551276002e-06,True,1.3,3.2,,27229-0.0,,
25200-0.0,0.00022222222222222223,2.868913492320525e-06,True,5.0,27.4,,25200-0.0,,
25066-0.0,0.00022222222222222223,2.865713849745379e-06,True,5.0,27.4,,25066-0.0,,
27193-0.0,0.00022222222222222223,2.8237765263226896e-06,True,1.3,3.2,,27193-0.0,,
26955-0.0,0.00022222222222222223,2.8225658167038115e-06,True,1.3,3.2,,26955-0.0,,
25912-0.0,0.00022222222222222223,2.816796028647437e-06,True,0.0,0.0,,25912-0.0,,
25290-0.0,0.00022222222222222223,2.7975012120096588e-06,True,5.0,27.4,,25290-0.0,,
