,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
67,0.068,0.984,0.085,0.992,0.09,0.077,0.088,0.841,0.05,12.926,0.0,0.001,0.002,0.001,0.008,0.002,0.004,0.004,0.001,0.424
68,0.069,0.984,0.084,0.993,0.091,0.076,0.087,0.841,0.05,13.112,0.0,0.001,0.002,0.001,0.007,0.002,0.004,0.004,0.001,0.335
69,0.07,0.985,0.081,0.993,0.092,0.074,0.086,0.841,0.05,13.505,0.0,0.001,0.002,0.001,0.009,0.002,0.004,0.004,0.001,0.421
70,0.071,0.985,0.08,0.993,0.094,0.073,0.086,0.841,0.05,13.704,0.0,0.001,0.002,0.001,0.009,0.003,0.004,0.004,0.001,0.505
71,0.072,0.985,0.078,0.993,0.095,0.071,0.086,0.841,0.05,14.061,0.0,0.001,0.003,0.001,0.011,0.003,0.006,0.004,0.001,0.657
72,0.073,0.985,0.075,0.994,0.095,0.068,0.083,0.841,0.05,14.692,0.0,0.001,0.003,0.001,0.01,0.003,0.005,0.004,0.001,0.641
73,0.074,0.986,0.072,0.994,0.096,0.066,0.082,0.841,0.05,15.222,0.0,0.001,0.004,0.001,0.009,0.004,0.005,0.004,0.001,1.036
74,0.075,0.986,0.069,0.994,0.098,0.063,0.081,0.841,0.05,15.862,0.0,0.001,0.003,0.001,0.011,0.003,0.005,0.004,0.001,0.837
75,0.076,0.986,0.066,0.995,0.099,0.061,0.08,0.841,0.05,16.447,0.0,0.0,0.004,0.0,0.011,0.004,0.006,0.004,0.001,1.115
76,0.077,0.986,0.064,0.995,0.099,0.059,0.078,0.841,0.05,16.942,0.0,0.0,0.003,0.0,0.011,0.003,0.005,0.004,0.001,0.944
77,0.078,0.987,0.064,0.995,0.102,0.059,0.078,0.841,0.05,17.091,0.0,0.0,0.003,0.0,0.011,0.003,0.006,0.004,0.001,1.02
78,0.079,0.987,0.062,0.995,0.101,0.057,0.077,0.841,0.05,17.635,0.0,0.0,0.003,0.0,0.01,0.003,0.004,0.004,0.001,0.862
79,0.08,0.987,0.06,0.995,0.103,0.055,0.076,0.841,0.05,18.194,0.0,0.0,0.002,0.0,0.013,0.002,0.005,0.004,0.001,0.735
80,0.081,0.987,0.058,0.996,0.109,0.053,0.075,0.841,0.05,18.748,0.0,0.001,0.002,0.001,0.013,0.002,0.004,0.004,0.001,0.817
81,0.082,0.988,0.055,0.996,0.111,0.051,0.074,0.841,0.05,19.568,0.0,0.0,0.003,0.0,0.013,0.003,0.005,0.004,0.001,1.023
82,0.083,0.988,0.055,0.996,0.113,0.051,0.074,0.841,0.05,19.702,0.0,0.0,0.003,0.0,0.013,0.003,0.005,0.004,0.001,1.113
83,0.084,0.988,0.053,0.996,0.118,0.049,0.073,0.841,0.05,20.429,0.0,0.0,0.004,0.0,0.015,0.004,0.006,0.004,0.001,1.475
84,0.085,0.988,0.049,0.997,0.117,0.046,0.069,0.841,0.05,21.857,0.0,0.0,0.004,0.0,0.011,0.004,0.004,0.004,0.001,1.743
85,0.086,0.988,0.048,0.997,0.118,0.045,0.068,0.841,0.05,22.458,0.0,0.0,0.004,0.0,0.01,0.004,0.004,0.004,0.001,1.858
86,0.087,0.988,0.046,0.997,0.118,0.043,0.066,0.841,0.05,23.726,0.0,0.0,0.005,0.0,0.008,0.004,0.004,0.004,0.001,2.215
87,0.088,0.989,0.044,0.997,0.12,0.041,0.064,0.841,0.05,24.51,0.0,0.0,0.004,0.0,0.006,0.004,0.004,0.004,0.001,2.117
88,0.089,0.989,0.043,0.997,0.122,0.041,0.064,0.841,0.05,24.906,0.0,0.0,0.005,0.0,0.006,0.004,0.004,0.004,0.001,2.442
89,0.09,0.989,0.042,0.997,0.122,0.039,0.062,0.841,0.05,25.973,0.0,0.0,0.004,0.0,0.007,0.004,0.004,0.004,0.001,2.488
90,0.091,0.989,0.042,0.997,0.126,0.039,0.062,0.841,0.05,25.901,0.0,0.0,0.004,0.0,0.006,0.004,0.004,0.004,0.001,2.502
91,0.092,0.989,0.04,0.997,0.126,0.038,0.061,0.841,0.05,26.579,0.0,0.0,0.004,0.0,0.008,0.003,0.004,0.004,0.001,2.322
92,0.093,0.989,0.039,0.998,0.129,0.037,0.06,0.841,0.05,27.576,0.0,0.0,0.003,0.0,0.007,0.003,0.003,0.004,0.001,2.218
93,0.094,0.989,0.038,0.998,0.131,0.036,0.059,0.841,0.05,28.202,0.0,0.0,0.003,0.0,0.009,0.003,0.003,0.004,0.001,2.203
94,0.095,0.989,0.036,0.998,0.129,0.034,0.056,0.841,0.05,29.665,0.0,0.0,0.003,0.0,0.008,0.003,0.004,0.004,0.001,2.561
95,0.096,0.989,0.035,0.998,0.129,0.033,0.055,0.841,0.05,30.832,0.0,0.0,0.003,0.0,0.007,0.003,0.004,0.004,0.001,2.742
96,0.097,0.989,0.034,0.998,0.13,0.032,0.054,0.841,0.05,31.541,0.0,0.0,0.003,0.0,0.007,0.002,0.003,0.004,0.001,2.355
97,0.098,0.989,0.033,0.998,0.134,0.031,0.053,0.841,0.05,32.03,0.0,0.0,0.002,0.0,0.01,0.002,0.002,0.004,0.001,1.672
98,0.099,0.99,0.032,0.998,0.134,0.03,0.052,0.841,0.05,32.946,0.0,0.0,0.002,0.0,0.009,0.002,0.002,0.004,0.001,1.966
99,0.1,0.99,0.031,0.998,0.133,0.029,0.05,0.841,0.05,34.647,0.0,0.0,0.003,0.0,0.012,0.003,0.004,0.004,0.001,3.75
