Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.521,0.954,0.519,0.007,0.473,0.013,0.853,0.021,2.118,0.0,0.032,0.019,0.032,0.0,0.017,0.001,0.008,0.001,0.078
0.002,0.628,0.903,0.627,0.008,0.53,0.016,0.853,0.021,1.889,0.0,0.01,0.014,0.01,0.0,0.012,0.0,0.008,0.001,0.043
0.003,0.685,0.866,0.684,0.009,0.55,0.018,0.853,0.021,1.819,0.0,0.031,0.03,0.031,0.001,0.019,0.001,0.008,0.001,0.063
0.004,0.747,0.807,0.747,0.011,0.553,0.021,0.853,0.021,1.809,0.0,0.026,0.022,0.026,0.001,0.019,0.002,0.008,0.001,0.064
0.005,0.786,0.751,0.786,0.012,0.537,0.023,0.853,0.021,1.867,0.0,0.012,0.03,0.012,0.001,0.026,0.001,0.008,0.001,0.09
0.006,0.818,0.698,0.819,0.013,0.517,0.026,0.853,0.021,1.942,0.0,0.019,0.053,0.019,0.001,0.036,0.001,0.008,0.001,0.131
0.007,0.849,0.637,0.849,0.014,0.487,0.028,0.853,0.021,2.069,0.0,0.02,0.061,0.02,0.001,0.042,0.001,0.008,0.001,0.163
0.008,0.886,0.553,0.887,0.016,0.439,0.032,0.853,0.021,2.283,0.0,0.01,0.032,0.01,0.001,0.026,0.002,0.008,0.001,0.125
0.009,0.895,0.531,0.896,0.017,0.426,0.033,0.853,0.021,2.348,0.0,0.009,0.018,0.009,0.001,0.014,0.002,0.008,0.001,0.077
0.01,0.912,0.481,0.914,0.019,0.395,0.036,0.853,0.021,2.566,0.0,0.015,0.057,0.016,0.001,0.043,0.003,0.008,0.001,0.299
0.011,0.929,0.42,0.931,0.02,0.351,0.039,0.853,0.021,2.887,0.0,0.012,0.051,0.012,0.002,0.04,0.003,0.008,0.001,0.315
0.012,0.931,0.41,0.933,0.021,0.343,0.039,0.853,0.021,2.936,0.0,0.01,0.038,0.01,0.002,0.03,0.003,0.008,0.001,0.256
0.013,0.942,0.374,0.944,0.023,0.319,0.043,0.853,0.021,3.156,0.0,0.006,0.027,0.006,0.002,0.024,0.004,0.008,0.001,0.223
0.014,0.943,0.372,0.944,0.023,0.317,0.042,0.853,0.021,3.171,0.0,0.007,0.026,0.007,0.002,0.023,0.004,0.008,0.001,0.213
0.015,0.944,0.367,0.946,0.023,0.313,0.043,0.853,0.021,3.206,0.0,0.005,0.016,0.005,0.002,0.016,0.004,0.008,0.001,0.157
0.016,0.944,0.367,0.946,0.023,0.313,0.043,0.853,0.021,3.206,0.0,0.005,0.016,0.005,0.002,0.016,0.004,0.008,0.001,0.157
0.017,0.954,0.32,0.956,0.025,0.276,0.046,0.853,0.021,3.836,0.0,0.013,0.073,0.013,0.003,0.06,0.004,0.008,0.001,1.021
0.018,0.959,0.29,0.962,0.026,0.251,0.048,0.853,0.021,4.204,0.0,0.014,0.073,0.014,0.004,0.059,0.006,0.008,0.001,0.986
0.019,0.965,0.265,0.967,0.028,0.233,0.05,0.853,0.021,4.436,0.0,0.009,0.051,0.009,0.003,0.042,0.005,0.008,0.001,0.795
0.02,0.967,0.25,0.97,0.029,0.22,0.051,0.853,0.021,4.734,0.0,0.01,0.056,0.011,0.004,0.046,0.005,0.008,0.001,0.884
0.021,0.97,0.221,0.973,0.028,0.193,0.049,0.853,0.021,5.82,0.0,0.012,0.077,0.013,0.003,0.064,0.004,0.008,0.001,2.116
0.022,0.977,0.184,0.979,0.03,0.164,0.051,0.853,0.021,6.537,0.0,0.007,0.047,0.007,0.002,0.04,0.004,0.008,0.001,1.802
0.023,0.979,0.178,0.981,0.031,0.159,0.053,0.853,0.021,6.641,0.0,0.004,0.038,0.004,0.001,0.034,0.003,0.008,0.001,1.691
