,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.578,0.891,0.578,0.004,0.469,0.008,0.847,0.02,2.138,0.0,0.013,0.013,0.013,0.0,0.022,0.0,0.009,0.002,0.096
1,0.002,0.762,0.777,0.762,0.006,0.539,0.013,0.847,0.02,1.862,0.0,0.001,0.028,0.001,0.0,0.029,0.0,0.009,0.002,0.104
2,0.003,0.847,0.668,0.847,0.008,0.515,0.017,0.847,0.02,1.946,0.0,0.005,0.022,0.005,0.0,0.022,0.001,0.009,0.002,0.085
3,0.004,0.89,0.587,0.89,0.01,0.477,0.02,0.847,0.02,2.096,0.0,0.003,0.008,0.003,0.0,0.01,0.001,0.009,0.002,0.043
4,0.005,0.916,0.523,0.916,0.012,0.439,0.024,0.847,0.02,2.28,0.0,0.002,0.02,0.002,0.0,0.019,0.001,0.009,0.002,0.103
5,0.006,0.932,0.475,0.933,0.014,0.408,0.027,0.847,0.02,2.459,0.0,0.003,0.025,0.003,0.0,0.023,0.001,0.009,0.002,0.142
6,0.007,0.943,0.439,0.944,0.015,0.383,0.029,0.847,0.02,2.62,0.0,0.002,0.027,0.002,0.0,0.025,0.001,0.009,0.002,0.177
7,0.008,0.951,0.412,0.952,0.017,0.364,0.032,0.847,0.02,2.763,0.0,0.002,0.028,0.002,0.001,0.026,0.001,0.009,0.002,0.214
8,0.009,0.957,0.386,0.958,0.018,0.345,0.034,0.847,0.02,2.909,0.0,0.002,0.018,0.002,0.001,0.017,0.001,0.009,0.002,0.145
9,0.01,0.962,0.356,0.964,0.019,0.319,0.036,0.847,0.02,3.141,0.0,0.002,0.019,0.002,0.001,0.018,0.002,0.009,0.002,0.176
10,0.011,0.967,0.33,0.968,0.02,0.298,0.038,0.847,0.02,3.364,0.0,0.002,0.019,0.002,0.001,0.018,0.002,0.009,0.002,0.207
11,0.012,0.971,0.303,0.972,0.021,0.275,0.039,0.847,0.02,3.654,0.0,0.002,0.02,0.002,0.001,0.018,0.002,0.009,0.002,0.256
12,0.013,0.975,0.278,0.976,0.022,0.254,0.041,0.847,0.02,3.949,0.0,0.002,0.018,0.002,0.001,0.017,0.002,0.009,0.002,0.267
13,0.014,0.978,0.262,0.979,0.024,0.241,0.044,0.847,0.02,4.169,0.0,0.001,0.017,0.001,0.002,0.016,0.003,0.009,0.002,0.294
14,0.015,0.98,0.24,0.981,0.025,0.221,0.045,0.847,0.02,4.542,0.0,0.002,0.015,0.002,0.002,0.014,0.004,0.009,0.002,0.292
15,0.016,0.982,0.208,0.984,0.025,0.192,0.044,0.847,0.02,5.22,0.0,0.002,0.007,0.002,0.002,0.006,0.004,0.009,0.002,0.152
16,0.017,0.984,0.194,0.986,0.026,0.18,0.046,0.847,0.02,5.596,0.0,0.002,0.013,0.002,0.002,0.012,0.003,0.009,0.002,0.389
17,0.018,0.986,0.175,0.988,0.028,0.163,0.047,0.847,0.02,6.142,0.0,0.002,0.006,0.002,0.004,0.005,0.005,0.009,0.002,0.187
18,0.019,0.987,0.163,0.989,0.029,0.152,0.049,0.847,0.02,6.579,0.0,0.001,0.005,0.001,0.004,0.004,0.005,0.009,0.002,0.19
19,0.02,0.989,0.156,0.99,0.031,0.146,0.051,0.847,0.02,6.854,0.0,0.001,0.008,0.001,0.004,0.007,0.005,0.009,0.002,0.341
20,0.021,0.99,0.145,0.991,0.032,0.136,0.053,0.847,0.02,7.376,0.0,0.001,0.009,0.001,0.005,0.009,0.007,0.009,0.002,0.472
21,0.022,0.991,0.134,0.992,0.035,0.126,0.055,0.847,0.02,7.965,0.0,0.001,0.008,0.001,0.007,0.008,0.009,0.009,0.002,0.492
22,0.023,0.992,0.115,0.994,0.035,0.109,0.053,0.847,0.02,9.262,0.0,0.001,0.009,0.001,0.006,0.009,0.008,0.009,0.002,0.779
23,0.024,0.992,0.105,0.994,0.035,0.099,0.052,0.847,0.02,10.187,0.0,0.001,0.009,0.001,0.006,0.009,0.007,0.009,0.002,1.089
24,0.025,0.993,0.097,0.995,0.036,0.092,0.053,0.847,0.02,11.19,0.0,0.001,0.014,0.001,0.007,0.014,0.009,0.009,0.002,1.953
25,0.026,0.994,0.092,0.996,0.039,0.087,0.055,0.847,0.02,11.834,0.0,0.001,0.015,0.001,0.009,0.015,0.011,0.009,0.002,2.267
26,0.027,0.994,0.078,0.996,0.038,0.075,0.051,0.847,0.02,14.072,0.0,0.001,0.017,0.001,0.01,0.017,0.013,0.009,0.002,3.019
27,0.028,0.995,0.069,0.996,0.038,0.066,0.049,0.847,0.02,16.444,0.0,0.001,0.019,0.001,0.012,0.019,0.015,0.009,0.002,4.47
28,0.029,0.995,0.065,0.997,0.04,0.062,0.049,0.847,0.02,18.063,0.0,0.001,0.02,0.001,0.011,0.02,0.014,0.009,0.002,6.571
29,0.03,0.995,0.065,0.997,0.043,0.062,0.052,0.847,0.02,17.943,0.0,0.001,0.02,0.001,0.011,0.02,0.014,0.009,0.002,6.469
30,0.031,0.996,0.062,0.997,0.046,0.06,0.053,0.847,0.02,18.569,0.0,0.001,0.019,0.001,0.011,0.018,0.013,0.009,0.002,6.207
31,0.032,0.996,0.055,0.998,0.046,0.053,0.049,0.847,0.02,20.394,0.0,0.001,0.015,0.001,0.007,0.014,0.009,0.009,0.002,5.556
32,0.033,0.996,0.047,0.998,0.042,0.045,0.044,0.847,0.02,24.954,0.0,0.001,0.016,0.001,0.006,0.015,0.009,0.009,0.002,7.767
33,0.034,0.996,0.042,0.998,0.043,0.04,0.041,0.847,0.02,28.09,0.0,0.001,0.014,0.001,0.006,0.014,0.009,0.009,0.002,9.174
