,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.873,0.663,0.873,0.003,0.537,0.006,0.851,0.006,1.901,0.0,0.019,0.082,0.019,0.0,0.074,0.001,0.024,0.002,0.279
1,0.002,0.933,0.526,0.933,0.005,0.459,0.009,0.851,0.006,2.229,0.0,0.006,0.072,0.006,0.0,0.067,0.001,0.024,0.002,0.347
2,0.003,0.959,0.402,0.959,0.006,0.361,0.012,0.851,0.006,2.848,0.0,0.003,0.064,0.003,0.001,0.061,0.001,0.024,0.002,0.482
3,0.004,0.974,0.311,0.974,0.007,0.285,0.014,0.851,0.006,3.973,0.0,0.002,0.083,0.002,0.002,0.082,0.003,0.024,0.002,1.659
4,0.005,0.984,0.209,0.984,0.008,0.193,0.016,0.851,0.006,6.766,0.0,0.001,0.072,0.001,0.003,0.072,0.006,0.024,0.002,4.446
5,0.006,0.991,0.118,0.992,0.009,0.109,0.017,0.851,0.006,10.57,0.0,0.002,0.035,0.002,0.004,0.037,0.007,0.024,0.002,4.441
6,0.007,0.995,0.069,0.996,0.012,0.064,0.019,0.851,0.006,17.526,0.0,0.002,0.019,0.002,0.004,0.018,0.006,0.024,0.002,7.281
7,0.008,0.998,0.033,0.998,0.023,0.031,0.02,0.851,0.006,39.909,0.0,0.001,0.014,0.001,0.017,0.013,0.003,0.024,0.002,18.392
8,0.009,0.999,0.003,0.999,,0.003,,0.851,0.006,inf,0.0,0.001,0.006,0.001,,0.006,,0.024,0.002,
9,0.01,0.999,0.003,1.0,,0.003,,0.851,0.006,inf,0.0,0.0,0.006,0.0,,0.006,,0.024,0.002,
10,0.011,0.999,0.003,1.0,,0.003,,0.851,0.006,inf,0.0,0.0,0.006,0.0,,0.006,,0.024,0.002,
11,0.012,0.999,0.0,1.0,,-0.0,,0.851,0.006,inf,0.0,0.0,0.0,0.0,,0.0,,0.024,0.002,
12,0.013,0.999,0.0,1.0,,-0.0,,0.851,0.006,inf,0.0,0.0,0.0,0.0,,0.0,,0.024,0.002,
13,0.014,0.999,0.0,1.0,,-0.0,,0.851,0.006,inf,0.0,0.0,0.0,0.0,,0.0,,0.024,0.002,
