Features,Cover,Gain
21022-0.0,0.1597777777777778,1.4031481396606793
34-0.0,0.22355555555555556,0.9414424884224846
400-0.0,0.2591111111111111,0.7105357380621361
400-0.1,0.23066666666666666,0.6090356356021913
30040-0.0,0.11644444444444443,0.12547722185684235
20023-0.0,0.08355555555555555,0.12242009811635027
137-0.0,0.13644444444444445,0.07573892808151117
404-0.5,0.09955555555555555,0.07425814314929206
23110-0.0,0.08866666666666666,0.0647478368912836
404-0.7,0.06688888888888889,0.05637468005522205
404-0.1,0.09444444444444444,0.05195035641013068
23108-0.0,0.10555555555555557,0.04910879391375637
404-0.0,0.08288888888888889,0.039729542362775865
20010-0.0,0.19666666666666668,0.03723114273296721
30710-0.0,0.17844444444444446,0.03587582266504351
23111-0.0,0.052,0.033350576455995685
3064-0.0,0.04133333333333333,0.0329619169033382
20008-0.3,0.03244444444444444,0.031852818623791634
3062-0.0,0.06644444444444444,0.02953309590894799
404-0.4,0.04733333333333333,0.02501749537791787
21001-0.0,0.035111111111111114,0.02370470078555689
4080-0.0,0.13311111111111112,0.021395366026180484
23107-0.0,0.056222222222222215,0.018071686116202607
3064-0.2,0.09755555555555556,0.017960273520596357
3526-0.0,0.128,0.01702797034005575
30650-0.0,0.1371111111111111,0.014810318111942989
404-0.11,0.06866666666666667,0.014805572227593027
3064-0.1,0.09511111111111109,0.01455466207177834
845-0.0,0.04844444444444444,0.014388312705331616
30690-0.0,0.06066666666666667,0.014158705577816205
46-0.0,0.064,0.01384593826587677
399-0.1,0.03711111111111111,0.013546406919093658
47-0.0,0.07088888888888889,0.01268984170720952
3062-0.1,0.092,0.012426805960898638
404-0.10,0.07288888888888889,0.0122450342795886
20008-0.0,0.11244444444444444,0.011797233946695245
404-0.3,0.043333333333333335,0.011577917909667158
20010-0.2,0.059555555555555556,0.01141244490450431
20008-0.1,0.072,0.011115484840178677
23116-0.0,0.05577777777777778,0.010582675916770104
20010-0.3,0.07288888888888888,0.010325383586560254
30620-0.0,0.10777777777777778,0.009920644424743313
23104-0.0,0.07044444444444445,0.009197262230450302
404-0.2,0.08155555555555555,0.00851633669990114
399-0.0,0.028222222222222225,0.008346223005722485
3063-0.1,0.03888888888888889,0.008194170721392993
20110-1.1_pos,0.06266666666666668,0.008001773526314048
3063-0.2,0.034222222222222216,0.006888396534186432
404-0.9,0.0026666666666666666,0.006737059697352969
20010-0.1,0.041333333333333326,0.006210830760289534
3062-0.2,0.036444444444444446,0.006142358007676861
23115-0.0,0.039999999999999994,0.006039688780582683
398-0.1,0.007555555555555557,0.005916109504628523
23112-0.0,0.05488888888888889,0.004895658615214046
20008-0.2,0.05888888888888889,0.004766592215598598
1558-0.0_c0,0.0011111111111111111,0.004469602340838053
3063-0.0,0.03266666666666667,0.004291005402640651
20010-0.4,0.013333333333333334,0.003887594447111305
22006-0.0_c1,0.029333333333333336,0.0037844491819953164
131287-0.0_c6,0.056,0.0037505281664338636
403-0.2,0.0022222222222222222,0.0034869626148832525
398-0.0,0.0037777777777777775,0.0032939700648694096
20008-0.4,0.04133333333333333,0.0028760178970424813
22006-0.0_c0,0.029333333333333336,0.002867735167819767
52-0.0_c0,0.03822222222222223,0.002567399664192644
404-0.6,0.0006666666666666668,0.001890743629360776
20110-2.2_pos,0.018222222222222226,0.0014640838308616938
20110-3.1_pos,0.003333333333333333,0.0014294542416535467
403-0.3,0.0022222222222222222,0.0012773620757292698
131287-0.0_c7,0.0011111111111111111,0.0006661242617557605
20010-0.6,0.004666666666666666,0.0006143645375486624
131351-0.0_c8,0.002,0.0005018141179391086
20110-0.1_neg,0.007555555555555556,0.00048277700151832387
131351-0.0_c4,0.004222222222222223,0.0003393598578432467
20008-0.10,0.006,0.00033785631212282177
20110-2.0_pos,0.0028888888888888888,0.0003212275122888892
20010-0.8,0.00044444444444444447,0.0003132732513541708
20010-0.5,0.002,0.00029285224648650424
20008-0.6,0.005333333333333333,0.00027370540202404416
1329-0.0_c0,0.004,0.0002455507303356228
20008-0.5,0.006666666666666668,0.0002428797384581835
20008-0.11,0.0044444444444444444,0.00018803451770798595
403-0.5,0.005111111111111111,0.00018313638330772652
403-0.1,0.003333333333333333,0.00015081791712987625
20110-1.1_neg,0.002666666666666667,0.00014941980348477334
20110-0.2_neg,0.0022222222222222222,0.00014583260757255478
20008-0.9,0.003777777777777778,0.0001104188835192312
403-0.0,0.0011111111111111111,0.00010639821775703805
131287-0.0_c5,0.0024444444444444444,9.487197503174579e-05
131287-0.0_c4,0.0017777777777777779,8.808602068412216e-05
131287-0.0_c8,0.0008888888888888889,8.161078144682659e-05
20116-0.0_c0,0.0011111111111111111,7.849021093564294e-05
1339-0.0_c0,0.0011111111111111111,7.769485724139167e-05
20110-3.2_pos,0.0013333333333333335,7.326717569428002e-05
131351-0.0_c5,0.0013333333333333333,6.247788821312172e-05
403-0.10,0.00044444444444444447,4.5255512334876285e-05
20010-0.7,0.00022222222222222223,4.24343444517105e-05
20110-2.1_pos,0.00044444444444444447,4.156900630846052e-05
20110-3.0_pos,0.0006666666666666668,3.8296675872579976e-05
20110-0.2_pos,0.0006666666666666668,3.81830051921415e-05
1031-0.0_c1,0.00044444444444444447,2.911210027136677e-05
20110-2.0_neg,0.00044444444444444447,2.802906918825451e-05
20008-0.7,0.0011111111111111111,2.7235950296934045e-05
403-0.9,0.00044444444444444447,2.439648645533309e-05
131351-0.0_c7,0.0013333333333333333,2.433251406217927e-05
403-0.7,0.00022222222222222223,2.2681819360397542e-05
403-0.6,0.00044444444444444447,2.225903733015301e-05
20110-1.2_neg,0.00044444444444444447,2.2115340410297905e-05
20110-2.2_neg,0.00044444444444444447,1.7921695364931563e-05
20110-1.0_pos,0.00022222222222222223,1.061481145756919e-05
