,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
71,0.072,0.996,0.01,1.0,0.07,0.009,0.017,0.847,0.024,161.9,0.0,0.0,0.005,0.0,0.023,0.005,0.008,0.004,0.003,112.988
72,0.073,0.996,0.01,1.0,0.071,0.009,0.017,0.847,0.024,161.399,0.0,0.0,0.005,0.0,0.022,0.005,0.008,0.004,0.003,112.844
73,0.074,0.996,0.01,1.0,0.073,0.009,0.017,0.847,0.024,161.255,0.0,0.0,0.005,0.0,0.023,0.005,0.008,0.004,0.003,112.86
74,0.075,0.996,0.009,1.0,0.071,0.009,0.016,0.847,0.024,206.541,0.0,0.0,0.006,0.0,0.027,0.005,0.009,0.004,0.003,155.81
75,0.076,0.996,0.009,1.0,0.074,0.009,0.016,0.847,0.024,205.394,0.0,0.0,0.006,0.0,0.028,0.005,0.009,0.004,0.003,154.388
76,0.077,0.996,0.009,1.0,0.072,0.008,0.015,0.847,0.024,210.955,0.0,0.0,0.005,0.0,0.028,0.005,0.009,0.004,0.003,149.246
77,0.078,0.996,0.007,1.0,0.059,0.007,,0.847,0.024,-1399.263,0.0,0.0,0.005,0.0,0.043,0.005,,0.004,0.003,3152.489
78,0.079,0.996,0.007,1.0,0.061,0.007,,0.847,0.024,-1401.477,0.0,0.0,0.005,0.0,0.042,0.005,,0.004,0.003,3151.23
79,0.08,0.996,0.006,1.0,0.058,0.006,,0.847,0.024,-1396.596,0.0,0.0,0.004,0.0,0.037,0.004,,0.004,0.003,3153.451
80,0.081,0.996,0.006,1.0,0.058,0.006,,0.847,0.024,-1396.626,0.0,0.0,0.004,0.0,0.037,0.004,,0.004,0.003,3153.437
81,0.082,0.996,0.006,1.0,0.063,0.006,,0.847,0.024,-1398.489,0.0,0.0,0.004,0.0,0.038,0.004,,0.004,0.003,3152.399
82,0.083,0.996,0.006,1.0,0.066,0.006,,0.847,0.024,-1398.902,0.0,0.0,0.004,0.0,0.04,0.004,,0.004,0.003,3152.177
83,0.084,0.996,0.006,1.0,0.071,0.006,,0.847,0.024,-1386.635,0.0,0.0,0.004,0.0,0.045,0.004,,0.004,0.003,3158.191
84,0.085,0.996,0.004,1.0,0.059,0.004,,0.847,0.024,-1426.325,0.0,0.0,0.004,0.0,0.041,0.004,,0.004,0.003,3459.385
85,0.086,0.996,0.003,1.0,0.052,0.003,,0.847,0.024,-2304.125,0.0,0.0,0.004,0.0,0.048,0.004,,0.004,0.003,3445.197
86,0.087,0.996,0.003,1.0,0.052,0.003,,0.847,0.024,-2304.125,0.0,0.0,0.004,0.0,0.048,0.004,,0.004,0.003,3445.197
87,0.088,0.996,0.003,1.0,0.052,0.003,,0.847,0.024,-2373.758,0.0,0.0,0.004,0.0,0.048,0.004,,0.004,0.003,3482.169
88,0.089,0.996,0.003,1.0,0.053,0.003,,0.847,0.024,-2504.599,0.0,0.0,0.004,0.0,0.048,0.004,,0.004,0.003,3564.923
89,0.09,0.996,0.003,1.0,0.058,0.003,,0.847,0.024,-2557.378,0.0,0.0,0.004,0.0,0.056,0.004,,0.004,0.003,3603.154
90,0.091,0.996,0.003,1.0,0.059,0.003,,0.847,0.024,-2557.654,0.0,0.0,0.004,0.0,0.056,0.004,,0.004,0.003,3602.93
91,0.092,0.996,0.003,1.0,0.06,0.003,,0.847,0.024,-2616.206,0.0,0.0,0.004,0.0,0.058,0.004,,0.004,0.003,3648.571
92,0.093,0.996,0.003,1.0,0.06,0.003,,0.847,0.024,-2681.63,0.0,0.0,0.004,0.0,0.058,0.004,,0.004,0.003,3703.311
93,0.094,0.996,0.003,1.0,0.06,0.003,,0.847,0.024,-2681.63,0.0,0.0,0.004,0.0,0.058,0.004,,0.004,0.003,3703.311
94,0.095,0.996,0.003,1.0,0.061,0.003,,0.847,0.024,-2907.17,0.0,0.0,0.004,0.0,0.058,0.004,,0.004,0.003,3999.113
95,0.096,0.996,0.003,1.0,0.064,0.003,,0.847,0.024,-2907.474,0.0,0.0,0.004,0.0,0.062,0.004,,0.004,0.003,3998.867
96,0.097,0.996,0.003,1.0,0.064,0.003,,0.847,0.024,-2907.474,0.0,0.0,0.004,0.0,0.062,0.004,,0.004,0.003,3998.867
97,0.098,0.996,0.003,1.0,0.058,0.003,,0.847,0.024,-2984.856,0.0,0.0,0.003,0.0,0.053,0.003,,0.004,0.003,4076.117
98,0.099,0.996,0.003,1.0,0.065,0.003,,0.847,0.024,-2985.632,0.0,0.0,0.003,0.0,0.059,0.003,,0.004,0.003,4075.48
99,0.1,0.996,0.003,1.0,0.065,0.003,,0.847,0.024,-2985.632,0.0,0.0,0.003,0.0,0.059,0.003,,0.004,0.003,4075.48
