Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
34-0.0,0.8043563681883071,0.0033429935441921742,0.8066559391916289,0.8043074462299517,0.8082046767969052,0.8042377158361074,0.7983760628869423
400-0.0,0.8272533678751186,0.006300747102089815,0.8371902388064387,0.8192659897074389,0.8254762169406443,0.8312159214526615,0.8231184724684095
400-0.1,0.8259068722488392,0.00835046549021278,0.8376293612181084,0.8119304438748906,0.8266115256497786,0.829345853049607,0.8240171774518115
3064-0.2,0.8337348654230764,0.005650118633831791,0.8430904690071115,0.8271254008674679,0.8348072084853759,0.8349852557143214,0.8286659930411053
20023-0.0,0.8334594778645744,0.005471928312051858,0.8405484142127864,0.8253400480229445,0.8368786963942947,0.8353463309146295,0.8291838997782173
23115-0.0,0.8366116564642088,0.006171983362326231,0.8446900283005538,0.8299440001390027,0.842545779391869,0.8359857122537513,0.829892762235866
30710-0.0,0.8380417857722595,0.004181221862596289,0.8428275293174043,0.8318725779529841,0.8421776624522811,0.8383325006810592,0.8349986584575688
137-0.0,0.8431479500692752,0.0034425068962361883,0.8471161407349581,0.8381438335932813,0.8468142899560954,0.8409481633240398,0.8427173227380024
30040-0.0,0.8447744593691248,0.004294726364762829,0.8508294788159723,0.8389648116559448,0.8483872169990104,0.8436557979520046,0.8420349914226913
30650-0.0,0.8443980564286979,0.004168722778149708,0.8491693651856091,0.8386495363859121,0.8492478692512752,0.8422868666610313,0.842636644659662
20110-1.1_pos,0.8483995976510454,0.0040731104600476705,0.853824684990431,0.8444318634580418,0.8526826350222736,0.8467451749988141,0.8443136297856672
4080-0.0,0.848892883745679,0.005098955273689455,0.8557297703844623,0.8428614697237701,0.8539291946245423,0.8474633179055313,0.844480666090089
3526-0.0,0.8530215781050332,0.005739567475360462,0.8614905814672047,0.8480533784447383,0.8581020835218407,0.8504154382862972,0.8470464088050853
20008-0.2,0.8499728039913956,0.005808392706831188,0.8595429524770477,0.8446864251955035,0.8536881724914684,0.8472687111392959,0.8446777586536622
20008-0.4,0.8528443184061425,0.005275021798660555,0.8605991068841845,0.8471695542902498,0.8576020627830596,0.8500482945952276,0.8488025734779916
20008-0.0,0.852353500762019,0.005245829123515502,0.8600970895955861,0.8466306608606475,0.8567099087662526,0.8508333340251031,0.8474965105625059
131287-0.0_c4,0.8544676769796226,0.004432293203776435,0.8600159556324953,0.8484297107468192,0.8581618238058933,0.8553357391082542,0.8503951556046504
30690-0.0,0.8534337712236013,0.0048330589045019615,0.8612561849483298,0.8484155127684337,0.8567910318927529,0.8506415897545099,0.850064536753981
131287-0.0_c6,0.8539590463564142,0.004311352444332843,0.8608755903084516,0.8479172381519945,0.8545942954870094,0.8550819788695724,0.8513261289650429
20010-0.0,0.8512100761441902,0.005347688343965198,0.8571634082258563,0.8460571312337749,0.8582799590010473,0.8474164159144338,0.8471334663458382
23110-0.0,0.8504038626673249,0.004146465049919096,0.8545777109233288,0.8439220529841646,0.8548032004189777,0.8509377149286962,0.8477786340814574
20110-0.1_neg,0.8540633442645016,0.0042955758125594315,0.8603315574723881,0.8500776494880383,0.8578546207735718,0.8524866399456515,0.8495662536428584
20010-0.2,0.8548694084098294,0.004200755443528699,0.8611586529335957,0.8504660328967731,0.858118514246827,0.8539672658165838,0.8506365761553676
20110-2.0_pos,0.8552373666037504,0.0038910862277062776,0.8602133316588007,0.8510638651116484,0.85930447481635,0.854403624652282,0.8512015367796701
20008-0.1,0.8547953153001286,0.0037472486522403996,0.85930691472585,0.8498203970046732,0.8586771875213166,0.8545339397663934,0.85163813748241
845-0.0,0.8546466276128178,0.0036428852156022945,0.8595826702992609,0.8498787346658613,0.8579554664950466,0.8539717599347421,0.8518445066691785
20008-0.6,0.8554810190672294,0.004341670057018918,0.8607536538826561,0.85123026198333,0.8606432067782981,0.8535316512297525,0.85124632146211
20008-0.3,0.8554246301730701,0.004016929543028677,0.8604549210567253,0.851440712662945,0.8593292067786988,0.855398799887252,0.8504995104797298
