target,auc_mean,auc_std,hl_pvalue,sensitivity,specificity,youden,best_cutoff
DM_full,0.837,0.004,0.1004,0.839,0.691,0.53,0.019
DM_10yrs,0.841,0.004,0.0041,0.781,0.749,0.53,0.011
DM_5yrs,0.842,0.005,0.0,0.748,0.779,0.528,0.002
AD_full,0.845,0.005,0.0263,0.882,0.658,0.541,0.008
AD_10yrs,0.853,0.008,0.0004,0.807,0.747,0.553,0.004
AD_5yrs,0.851,0.035,0.0001,0.663,0.868,0.531,0.001
