target,auc_mean,auc_std,brier,ap,sensitivity,specificity,n_events,n_total
DM_full,0.8297155803469412,0.004833445660195482,0.01880415352891475,0.0912657055629958,0.8077037921767691,0.7047505658337972,10047,502241
DM_10yrs,0.8279885331387387,0.00445374790973871,0.008589725843230131,0.04571502459902063,0.7916291629162916,0.7175736294111856,4444,502241
DM_5yrs,0.8015392175924687,0.00451113385450107,0.0019423997207544633,0.009188952852439019,0.7553516819571865,0.7338107967920839,981,502241
AD_full,0.8329615068732045,0.004664334512271914,0.008612211156640244,0.04374022823950227,0.8020669512469109,0.7147250848751482,4451,502241
AD_10yrs,0.8255305731396081,0.003832457428425404,0.0034406077412185033,0.018135064475896603,0.8299942759015455,0.6796005546520039,1747,502241
AD_5yrs,0.6481875293328726,0.029967474614896957,0.0006086708057407561,0.0012260286422792529,0.4477124183006536,0.848956538197177,306,502241
